,0,1,2
0,0.0,0.0,49.2
1,0.0,0.0,87.1
2,0.0,0.0,29.2
3,0.0,0.0,2.3
4,3.0,0.0,528.8
5,3.0,0.0,517.5
6,2.0,0.0,365.1
7,3.0,0.0,481.1
8,2.0,0.0,332.6
9,3.0,0.0,388.5
10,3.0,0.0,558.2
11,0.0,0.0,33.6
12,0.0,0.0,0.0
13,0.0,0.0,159.8
14,0.0,0.0,12.2
15,0.0,0.0,0.0
16,3.0,0.0,446.1
17,3.0,0.0,537.1
18,1.0,0.0,228.9
19,3.0,0.0,753.7
20,3.0,0.0,666.2
21,0.0,0.0,197.2
22,3.0,0.0,359.0
23,0.0,0.0,160.5
24,0.0,0.0,12.7
25,0.0,0.0,144.0
26,0.0,0.0,0.0
27,0.0,0.0,1.0
28,1.0,0.0,235.1
29,3.0,0.0,479.9
30,3.0,0.0,728.4
31,2.0,0.0,326.7
32,2.0,0.0,339.0
33,0.0,0.0,181.2
34,2.0,0.0,284.4
35,1.0,0.0,225.0
36,0.0,0.0,9.4
37,0.0,0.0,14.7
38,0.0,0.0,0.0
39,1.0,0.0,202.4
40,2.0,0.0,304.5
41,3.0,0.0,495.1
42,3.0,0.0,502.0
43,0.0,0.0,160.1
44,3.0,0.0,820.4
45,1.0,0.0,222.2
46,2.0,0.0,308.7
47,0.0,0.0,40.1
48,0.0,0.0,1.3
49,0.0,0.0,0.0
50,0.0,0.0,3.3
51,0.0,0.0,26.9
52,2.0,0.0,279.5
53,3.0,0.0,628.7
54,2.0,0.0,368.7
55,2.0,0.0,330.5
56,2.0,0.0,297.0
57,2.0,0.0,260.7
58,0.0,0.0,25.4
59,2.0,0.0,344.7
60,0.0,0.0,36.6
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,3.0,0.0,556.1
65,3.0,0.0,733.3
66,1.0,0.0,247.7
67,2.0,0.0,320.5
68,0.0,0.0,164.3
69,2.0,0.0,267.8
70,0.0,0.0,128.9
71,0.0,0.0,79.2
72,0.0,0.0,110.7
73,0.0,0.0,0.0
74,0.0,0.0,113.3
75,0.0,0.0,21.6
76,3.0,0.0,616.3
77,2.0,0.0,305.2
78,3.0,0.0,443.9
79,3.0,0.0,377.6
80,0.0,0.0,200.4
81,2.0,0.0,264.4
82,3.0,0.0,648.9
83,1.0,0.0,245.6
84,0.0,0.0,20.9
85,0.0,0.0,85.1
86,0.0,0.0,0.0
87,0.0,0.0,29.0
88,3.0,0.0,562.0
89,3.0,0.0,693.6
90,3.0,0.0,481.4
